Name,p1_head,p1_neck,p1_body,p1_r_arm_up,p1_r_arm_low,p1_r_hand,p1_l_arm_up,p1_l_arm_low,p1_l_hand,p1_r_leg_up,p1_r_leg_low,p1_r_foot,p1_l_leg_up,p1_l_leg_low,p1_l_foot,p1_main_weapon,p1_sub_weapon,p1_special_1,p1_special_2,p1_special_3,p1_special_4,p1_special_5,p1_special_6,p1_special_7,p1_special_8,p1_special_9,p1_special_10,p2_head,p2_neck,p2_body,p2_r_arm_up,p2_r_arm_low,p2_r_hand,p2_l_arm_up,p2_l_arm_low,p2_l_hand,p2_r_leg_up,p2_r_leg_low,p2_r_foot,p2_l_leg_up,p2_l_leg_low,p2_l_foot,p2_main_weapon,p2_sub_weapon,p2_special_1,p2_special_2,p2_special_3,p2_special_4,p2_special_5,p2_special_6,p2_special_7,p2_special_8,p2_special_9,p2_special_10,p3_head,p3_neck,p3_body,p3_r_arm_up,p3_r_arm_low,p3_r_hand,p3_l_arm_up,p3_l_arm_low,p3_l_hand,p3_r_leg_up,p3_r_leg_low,p3_r_foot,p3_l_leg_up,p3_l_leg_low,p3_l_foot,p3_main_weapon,p3_sub_weapon,p3_special_1,p3_special_2,p3_special_3,p3_special_4,p3_special_5,p3_special_6,p3_special_7,p3_special_8,p3_special_9,p3_special_10,p4_head,p4_neck,p4_body,p4_r_arm_up,p4_r_arm_low,p4_r_hand,p4_l_arm_up,p4_l_arm_low,p4_l_hand,p4_r_leg_up,p4_r_leg_low,p4_r_foot,p4_l_leg_up,p4_l_leg_low,p4_l_foot,p4_main_weapon,p4_sub_weapon,p4_special_1,p4_special_2,p4_special_3,p4_special_4,p4_special_5,p4_special_6,p4_special_7,p4_special_8,p4_special_9,p4_special_10,effect_1,effect_2,effect_3,effect_4,effect_5,effect_6,effect_7,effect_8,frame_property,animation_property,sound_effect
PresetCombatStandC4.1/13,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.1/14,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
PresetCombatStandC4.1/15,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.1/16,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/0,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/1,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_1.5,,
PresetCombatStandC4.2/2,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/3,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,play_time_mod_2,,
PresetCombatStandC4.2/4,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/5,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/6,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/7,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/8,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresetCombatStandC4.2/9,"Duskuksa,Head,0.5,-195.7,-4.5,0,12,1,0","Duskuksa,Neck,-4.6,-173.8,-5,0,14,1,0","Duskuksa,Body,-5.4,-113.2,-2.5,0,13,1,0","Duskuksa,Arm Up,-54.8,-137,-14,0,4,1,0","Duskuksa,Arm Low,-68.2,-101.8,-11,0,5,1,0","Duskuksa,Fist,-76.6,-74.2,-23,0,3,1,0","Duskuksa,Arm Up,41.8,-134,18,1,15,1,0","Duskuksa,Arm Low Back,62.4,-100.8,28,1,17,1,0","Duskuksa,Fist Back,82.6,-77.6,23,0,14,1,0","Duskuksa,Leg Up,-26.5,-65.2,-18.7,0,15,1,0","Duskuksa,Leg Low,-43.5,-34.2,-19,0,17,1,0","Duskuksa,Foot,-35.4,-12.7,2.9,0,20,1,0","Duskuksa,Leg Up,30,-66.2,20.7,0,19,1,0","Duskuksa,Leg Low,34,-33.7,10.5,0,20,1,0","Duskuksa,Foot_back,50.1,-14.2,6.5,0,22,1,0","Duskuksa Hammer,Base,-53.6,-69.8,79,0,5,1,0","Duskuksa Axe,Base,127.2,-76.6,128,0,19,1,0","Duskuksa,Mustache,11.2,-180.8,-1,0,3,1,0","Duskuksa,Heat Outer Stone,-29,-73.2,-3,0,7,1,0","Duskuksa,Heat Inner Stone,-10.2,-75,-2,0,9,1,0","Duskuksa,Cold Inner Stone,27.4,-74.6,0,0,9,1,0","Duskuksa,Cold Outer Stone,42.6,-70.8,0,0,7,1,0","Duskuksa,Weapon Rope,-76,-83.8,0,0,3,1,0","Duskuksa,Weapon Rope,75.4,-81,54,0,0,1,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
